CharacterName,Bond,Stat1,Value1,Stat2,Value2
Airi,2,HP,17,Attack,0
Airi,3,HP,34,Attack,0
Airi,4,HP,51,Attack,0
Airi,5,HP,68,Attack,0
Airi,6,HP,93,Attack,0
Airi,7,HP,118,Attack,0
Airi,8,HP,143,Attack,0
Airi,9,HP,168,Attack,0
Airi,10,HP,193,Attack,0
Airi,11,HP,227,Attack,5
Airi,12,HP,261,Attack,10
Airi,13,HP,295,Attack,15
Airi,14,HP,329,Attack,20
Airi,15,HP,363,Attack,25
Airi,16,HP,405,Attack,30
Airi,17,HP,447,Attack,35
Airi,18,HP,489,Attack,40
Airi,19,HP,531,Attack,45
Airi,20,HP,573,Attack,50
Airi,21,HP,584,Attack,51
Airi,22,HP,595,Attack,52
Airi,23,HP,606,Attack,53
Airi,24,HP,617,Attack,54
Airi,25,HP,628,Attack,55
Airi,26,HP,639,Attack,56
Airi,27,HP,650,Attack,57
Airi,28,HP,661,Attack,58
Airi,29,HP,672,Attack,59
Airi,30,HP,683,Attack,60
Airi,31,HP,699,Attack,61
Airi,32,HP,715,Attack,62
Airi,33,HP,731,Attack,63
Airi,34,HP,747,Attack,64
Airi,35,HP,763,Attack,65
Airi,36,HP,779,Attack,66
Airi,37,HP,795,Attack,67
Airi,38,HP,811,Attack,68
Airi,39,HP,827,Attack,69
Airi,40,HP,843,Attack,70
Airi,41,HP,870,Attack,72
Airi,42,HP,897,Attack,74
Airi,43,HP,924,Attack,76
Airi,44,HP,951,Attack,78
Airi,45,HP,978,Attack,80
Airi,46,HP,1005,Attack,82
Airi,47,HP,1032,Attack,84
Airi,48,HP,1059,Attack,86
Airi,49,HP,1086,Attack,88
Airi,50,HP,1113,Attack,90
Akane,2,Attack,1,HP,0
Akane,3,Attack,2,HP,0
Akane,4,Attack,3,HP,0
Akane,5,Attack,4,HP,0
Akane,6,Attack,5,HP,0
Akane,7,Attack,6,HP,0
Akane,8,Attack,7,HP,0
Akane,9,Attack,8,HP,0
Akane,10,Attack,9,HP,0
Akane,11,Attack,11,HP,64
Akane,12,Attack,13,HP,128
Akane,13,Attack,15,HP,192
Akane,14,Attack,17,HP,256
Akane,15,Attack,19,HP,320
Akane,16,Attack,21,HP,397
Akane,17,Attack,23,HP,474
Akane,18,Attack,25,HP,551
Akane,19,Attack,27,HP,628
Akane,20,Attack,29,HP,705
Akane,21,Attack,30,HP,718
Akane,22,Attack,31,HP,731
Akane,23,Attack,32,HP,744
Akane,24,Attack,33,HP,757
Akane,25,Attack,34,HP,770
Akane,26,Attack,35,HP,783
Akane,27,Attack,36,HP,796
Akane,28,Attack,37,HP,809
Akane,29,Attack,38,HP,822
Akane,30,Attack,39,HP,835
Akane,31,Attack,40,HP,855
Akane,32,Attack,41,HP,875
Akane,33,Attack,42,HP,895
Akane,34,Attack,43,HP,915
Akane,35,Attack,44,HP,935
Akane,36,Attack,45,HP,955
Akane,37,Attack,46,HP,975
Akane,38,Attack,47,HP,995
Akane,39,Attack,48,HP,1015
Akane,40,Attack,49,HP,1035
Akane,41,Attack,50,HP,1069
Akane,42,Attack,51,HP,1103
Akane,43,Attack,52,HP,1137
Akane,44,Attack,53,HP,1171
Akane,45,Attack,54,HP,1205
Akane,46,Attack,55,HP,1239
Akane,47,Attack,56,HP,1273
Akane,48,Attack,57,HP,1307
Akane,49,Attack,58,HP,1341
Akane,50,Attack,59,HP,1375
Akari,2,Attack,3,HP,0
Akari,3,Attack,6,HP,0
Akari,4,Attack,9,HP,0
Akari,5,Attack,12,HP,0
Akari,6,Attack,16,HP,0
Akari,7,Attack,20,HP,0
Akari,8,Attack,24,HP,0
Akari,9,Attack,28,HP,0
Akari,10,Attack,32,HP,0
Akari,11,Attack,38,HP,57
Akari,12,Attack,44,HP,114
Akari,13,Attack,50,HP,171
Akari,14,Attack,56,HP,228
Akari,15,Attack,62,HP,285
Akari,16,Attack,69,HP,353
Akari,17,Attack,76,HP,421
Akari,18,Attack,83,HP,489
Akari,19,Attack,90,HP,557
Akari,20,Attack,97,HP,625
Akari,21,Attack,99,HP,637
Akari,22,Attack,101,HP,649
Akari,23,Attack,103,HP,661
Akari,24,Attack,105,HP,673
Akari,25,Attack,107,HP,685
Akari,26,Attack,109,HP,697
Akari,27,Attack,111,HP,709
Akari,28,Attack,113,HP,721
Akari,29,Attack,115,HP,733
Akari,30,Attack,117,HP,745
Akari,31,Attack,120,HP,763
Akari,32,Attack,123,HP,781
Akari,33,Attack,126,HP,799
Akari,34,Attack,129,HP,817
Akari,35,Attack,132,HP,835
Akari,36,Attack,135,HP,853
Akari,37,Attack,138,HP,871
Akari,38,Attack,141,HP,889
Akari,39,Attack,144,HP,907
Akari,40,Attack,147,HP,925
Akari,41,Attack,152,HP,955
Akari,42,Attack,157,HP,985
Akari,43,Attack,162,HP,1015
Akari,44,Attack,167,HP,1045
Akari,45,Attack,172,HP,1075
Akari,46,Attack,177,HP,1105
Akari,47,Attack,182,HP,1135
Akari,48,Attack,187,HP,1165
Akari,49,Attack,192,HP,1195
Akari,50,Attack,197,HP,1225
Ako,2,Attack,1,HP,0
Ako,3,Attack,2,HP,0
Ako,4,Attack,3,HP,0
Ako,5,Attack,4,HP,0
Ako,6,Attack,6,HP,0
Ako,7,Attack,8,HP,0
Ako,8,Attack,10,HP,0
Ako,9,Attack,12,HP,0
Ako,10,Attack,14,HP,0
Ako,11,Attack,17,HP,40
Ako,12,Attack,20,HP,80
Ako,13,Attack,23,HP,120
Ako,14,Attack,26,HP,160
Ako,15,Attack,29,HP,200
Ako,16,Attack,33,HP,248
Ako,17,Attack,37,HP,296
Ako,18,Attack,41,HP,344
Ako,19,Attack,45,HP,392
Ako,20,Attack,49,HP,440
Ako,21,Attack,50,HP,448
Ako,22,Attack,51,HP,456
Ako,23,Attack,52,HP,464
Ako,24,Attack,53,HP,472
Ako,25,Attack,54,HP,480
Ako,26,Attack,55,HP,488
Ako,27,Attack,56,HP,496
Ako,28,Attack,57,HP,504
Ako,29,Attack,58,HP,512
Ako,30,Attack,59,HP,520
Ako,31,Attack,60,HP,533
Ako,32,Attack,61,HP,546
Ako,33,Attack,62,HP,559
Ako,34,Attack,63,HP,572
Ako,35,Attack,64,HP,585
Ako,36,Attack,65,HP,598
Ako,37,Attack,66,HP,611
Ako,38,Attack,67,HP,624
Ako,39,Attack,68,HP,637
Ako,40,Attack,69,HP,650
Ako,41,Attack,71,HP,671
Ako,42,Attack,73,HP,692
Ako,43,Attack,75,HP,713
Ako,44,Attack,77,HP,734
Ako,45,Attack,79,HP,755
Ako,46,Attack,81,HP,776
Ako,47,Attack,83,HP,797
Ako,48,Attack,85,HP,818
Ako,49,Attack,87,HP,839
Ako,50,Attack,89,HP,860
Aris,2,Attack,3,HP,0
Aris,3,Attack,6,HP,0
Aris,4,Attack,9,HP,0
Aris,5,Attack,12,HP,0
Aris,6,Attack,17,HP,0
Aris,7,Attack,22,HP,0
Aris,8,Attack,27,HP,0
Aris,9,Attack,32,HP,0
Aris,10,Attack,37,HP,0
Aris,11,Attack,44,HP,43
Aris,12,Attack,51,HP,86
Aris,13,Attack,58,HP,129
Aris,14,Attack,65,HP,172
Aris,15,Attack,72,HP,215
Aris,16,Attack,81,HP,266
Aris,17,Attack,90,HP,317
Aris,18,Attack,99,HP,368
Aris,19,Attack,108,HP,419
Aris,20,Attack,117,HP,470
Aris,21,Attack,120,HP,478
Aris,22,Attack,123,HP,486
Aris,23,Attack,126,HP,494
Aris,24,Attack,129,HP,502
Aris,25,Attack,132,HP,510
Aris,26,Attack,135,HP,518
Aris,27,Attack,138,HP,526
Aris,28,Attack,141,HP,534
Aris,29,Attack,144,HP,542
Aris,30,Attack,147,HP,550
Aris,31,Attack,151,HP,562
Aris,32,Attack,155,HP,574
Aris,33,Attack,159,HP,586
Aris,34,Attack,163,HP,598
Aris,35,Attack,167,HP,610
Aris,36,Attack,171,HP,622
Aris,37,Attack,175,HP,634
Aris,38,Attack,179,HP,646
Aris,39,Attack,183,HP,658
Aris,40,Attack,187,HP,670
Aris,41,Attack,194,HP,689
Aris,42,Attack,201,HP,708
Aris,43,Attack,208,HP,727
Aris,44,Attack,215,HP,746
Aris,45,Attack,222,HP,765
Aris,46,Attack,229,HP,784
Aris,47,Attack,236,HP,803
Aris,48,Attack,243,HP,822
Aris,49,Attack,250,HP,841
Aris,50,Attack,257,HP,860
Aru,2,Attack,4,HP,0
Aru,3,Attack,8,HP,0
